item,count,mean_Openness,mean_Conscientiousness,mean_Extraversion,mean_Agreeableness,mean_Neuroticism
never,848,0.7553360849056604,0.6353183962264151,0.6183372641509435,0.7238797169811321,0.6625294811320755
bridgerton,207,0.7885265700483092,0.6442028985507248,0.6043478260869565,0.7578502415458938,0.6828502415458938
chainsaw man,122,0.8227459016393442,0.5754098360655739,0.5651639344262294,0.7252049180327867,0.6866803278688525
i forgot,208,0.7686298076923077,0.5900240384615384,0.5788461538461539,0.7211538461538461,0.6875
the body keeps the score,122,0.8573770491803279,0.6516393442622951,0.6479508196721311,0.7811475409836065,0.6672131147540983
dracula,117,0.8397435897435895,0.6044871794871794,0.5792735042735041,0.6963675213675212,0.6946581196581197
unsure,106,0.7851415094339623,0.6330188679245282,0.6011792452830189,0.7360849056603773,0.693632075471698
powerless,140,0.7560714285714285,0.6241071428571429,0.6217857142857143,0.7428571428571429,0.70875
i didnt,303,0.677062706270627,0.5945544554455445,0.6522277227722773,0.6982673267326733,0.663943894389439
the picture of dorian gray,120,0.8770833333333333,0.6058333333333333,0.5814583333333333,0.6708333333333333,0.7077083333333333
i didnt ,250,0.6689,0.5986,0.651,0.697,0.6642
i dont know ,54,0.7050925925925925,0.5976851851851852,0.636574074074074,0.7148148148148148,0.6791666666666667
we were liars,120,0.7827083333333333,0.6277083333333332,0.6739583333333333,0.7358333333333333,0.7035416666666665
komik,153,0.7637254901960784,0.6050653594771241,0.5705882352941176,0.6637254901960784,0.7194444444444444
fourth wing ,122,0.799795081967213,0.6411885245901637,0.610655737704918,0.7543032786885246,0.6993852459016392
girl in pieces ,97,0.756958762886598,0.5737113402061856,0.5667525773195876,0.7569587628865979,0.8242268041237114
the handmaids tale,35,0.7442857142857143,0.6271428571428572,0.6335714285714285,0.7321428571428571,0.7171428571428571
ice breaker,129,0.7071705426356588,0.5872093023255814,0.653875968992248,0.7250000000000001,0.7296511627906976
night,1815,0.8020661157024793,0.6267906336088154,0.61133608815427,0.7272727272727273,0.6874242424242424
tomorrow and tomorrow and tomorrow,102,0.8536764705882351,0.6612745098039214,0.6526960784313726,0.7460784313725489,0.6705882352941178
frankenstein ,118,0.8260593220338981,0.6319915254237289,0.6097457627118644,0.7199152542372882,0.6853813559322033
surrounded by idiots,117,0.7897435897435898,0.6658119658119659,0.6294871794871794,0.6961538461538461,0.6271367521367521
warrior cats,111,0.7554054054054055,0.538963963963964,0.5175675675675675,0.7083333333333335,0.7409909909909907
comic,405,0.7661111111111111,0.6384567901234568,0.5978395061728395,0.7075925925925926,0.6657407407407407
the courage to be disliked,107,0.8605140186915887,0.6518691588785047,0.6322429906542055,0.710747663551402,0.6100467289719625
binding ,99,0.728030303030303,0.6247474747474747,0.6449494949494949,0.7568181818181818,0.7131313131313132
aucun,108,0.7300925925925925,0.5763888888888888,0.6335648148148147,0.730787037037037,0.6872685185185184
bumi,362,0.7843232044198896,0.5939917127071824,0.5718232044198895,0.67396408839779,0.7283149171270717
house of leaves,94,0.8686170212765957,0.5406914893617022,0.5377659574468086,0.7039893617021274,0.7518617021276596
all the bright places,106,0.8030660377358491,0.6183962264150943,0.5948113207547169,0.7568396226415094,0.7459905660377358
the catcher in the rye,96,0.8312500000000002,0.5919270833333333,0.5747395833333333,0.70859375,0.7221354166666667
heaven officials blessing,26,0.835576923076923,0.5711538461538462,0.5480769230769231,0.7192307692307692,0.7557692307692309
art of war,261,0.8203065134099616,0.6909961685823754,0.6184865900383142,0.6870689655172413,0.6025862068965516
twisted love ,105,0.7278571428571429,0.6166666666666667,0.6228571428571428,0.7569047619047619,0.7083333333333334
gone girl,106,0.8103773584905662,0.6452830188679246,0.6648584905660376,0.7231132075471696,0.6799528301886792
when breath becomes air,95,0.8157894736842105,0.6486842105263158,0.6371052631578947,0.7381578947368421,0.6831578947368422
the hate u give,102,0.7397058823529412,0.6193627450980392,0.6379901960784314,0.7333333333333334,0.6965686274509804
red queen,124,0.780241935483871,0.6068548387096774,0.6139112903225805,0.7231854838709677,0.7219758064516131
perks of being a wallflower,290,0.823448275862069,0.5795689655172415,0.6025,0.7324999999999999,0.7512068965517241
looking for alaska,117,0.7946581196581197,0.5980769230769232,0.6386752136752136,0.7303418803418804,0.7134615384615383
tere liye,550,0.7863181818181818,0.6151818181818182,0.586,0.6787727272727273,0.7179090909090909
hatchet,127,0.7127952755905512,0.6454724409448821,0.6423228346456693,0.7312992125984251,0.6425196850393702
normal people ,106,0.8370283018867922,0.650943396226415,0.6384433962264152,0.7377358490566038,0.713679245283019
reminders of him,123,0.7083333333333331,0.6788617886178863,0.656910569105691,0.7920731707317071,0.6772357723577236
to kill a mockingbird ,95,0.8018421052631579,0.6460526315789473,0.5944736842105264,0.6986842105263158,0.6986842105263158
babel,131,0.8709923664122137,0.6099236641221375,0.5893129770992367,0.7267175572519083,0.700763358778626
