item,count,mean_Openness,mean_Conscientiousness,mean_Extraversion,mean_Agreeableness,mean_Neuroticism
transformers ,264,0.7327651515151514,0.6357954545454545,0.5985795454545454,0.7328598484848483,0.6459280303030304
the godfather,174,0.8011494252873563,0.6498563218390804,0.6094827586206897,0.6757183908045978,0.6406609195402299
five nights at freddys ,27,0.7379629629629628,0.5657407407407408,0.5731481481481482,0.774074074074074,0.7564814814814815
aquaman ,279,0.7629032258064516,0.6827060931899641,0.639336917562724,0.7596774193548387,0.6491935483870968
the whale,143,0.8531468531468532,0.6505244755244756,0.6332167832167833,0.7328671328671329,0.6615384615384616
napoleon,198,0.8077020202020203,0.6707070707070708,0.6532828282828282,0.7010101010101011,0.6281565656565656
the color purple,165,0.8034848484848485,0.6777272727272727,0.6531818181818181,0.8068181818181818,0.6022727272727273
agak laen,134,0.7477611940298508,0.6292910447761194,0.6061567164179104,0.6902985074626866,0.6970149253731344
exhuma,131,0.7795801526717557,0.6870229007633588,0.5998091603053435,0.6875954198473282,0.6561068702290076
 idiots,215,0.8011627906976744,0.6698837209302324,0.6458139534883722,0.7196511627906976,0.6230232558139536
willy wonka,171,0.7631578947368421,0.6296783625730993,0.6160818713450292,0.7383040935672512,0.67046783625731
dont remember ,115,0.7613043478260869,0.6232608695652173,0.6102173913043478,0.7378260869565215,0.6778260869565219
deadpool and wolverine ,125,0.7465999999999999,0.6113999999999998,0.6146,0.7406,0.6889999999999998
tenet,136,0.8255514705882353,0.6301470588235294,0.6115808823529412,0.6972426470588236,0.6450367647058824
super mario bros,380,0.7544736842105263,0.6378289473684211,0.5926315789473685,0.7559210526315789,0.667828947368421
the little mermaid ,164,0.7814024390243901,0.6499999999999999,0.6234756097560976,0.7842987804878049,0.6798780487804879
spider man ,919,0.7477421109902067,0.6023667029379761,0.6182807399347117,0.7133297062023939,0.6593307943416756
suits,146,0.7523972602739726,0.7128424657534247,0.671917808219178,0.7294520547945206,0.5960616438356164
i dont know ,57,0.7100877192982458,0.5986842105263158,0.6039473684210526,0.7131578947368422,0.6890350877192982
wolf of wall street,247,0.7251012145748986,0.6650809716599191,0.7186234817813765,0.6502024291497976,0.59665991902834
crazy rich asians,149,0.7471476510067113,0.6458053691275167,0.6751677852348993,0.7486577181208054,0.660234899328859
saw,698,0.7726002865329512,0.6392908309455587,0.5865687679083095,0.7133954154727794,0.6751790830945559
